sample_id,aum
5094,7.572548071543376
1260,7.045504847665628
1578,6.956621325016021
6040,6.860709222157796
1953,6.681151860455672
6532,6.600753933191299
1294,6.57788664350907
2277,6.492947348952294
5649,6.4186233679453535
9064,6.417429486910502
1429,6.386677393317223
1938,6.363264920314153
2205,6.284770401318868
1776,6.251953165729841
3522,6.248447066545486
1139,6.239664246141911
5699,6.197565678755442
9166,6.1906773686409
6738,6.189343078931173
2408,6.188665429751079
8350,6.1715114514033
1358,6.111729557315509
5918,6.081507213910421
9972,6.049475987752278
2545,6.044555252790451
3683,6.032493132352829
1890,6.018137743075688
7229,6.015940952301025
4601,5.973585359255472
2038,5.9126015737652775
8822,5.905228241284688
8762,5.8989281018575035
5068,5.849645618597666
5861,5.841799026727676
9128,5.8370872974395756
7881,5.821221224466959
6160,5.812541357676188
807,5.808826447029909
8214,5.760576494534811
322,5.7316015754515925
5200,5.727918920914332
2705,5.726255240043004
1386,5.704965096712113
6005,5.7040927310784655
9819,5.696281601985295
9274,5.693717006842295
5682,5.649357927838961
4323,5.648528758684794
9360,5.639580551783244
9127,5.6306262612342834
4311,5.620261736710867
8962,5.60663712422053
6168,5.603800467650095
7820,5.598935457070668
4394,5.5895659555991495
6265,5.553218774994215
8395,5.552491881450018
5400,5.546286090215047
4837,5.5241177121798195
5471,5.518784799178442
349,5.506710646053155
4010,5.494029260675112
1587,5.491033560534318
5000,5.487396022677421
8313,5.485799431800842
9726,5.48188792069753
6452,5.478730477889379
609,5.451693146924177
2433,5.4503583629926045
1792,5.430554325381915
7765,5.426803922653198
1547,5.419442074000836
3435,5.413924101988474
6511,5.402208391825358
5009,5.40037429134051
9602,5.395212809244792
9051,5.391641902923584
5631,5.390273996194204
3473,5.385710990428924
6719,5.3846444149812065
1798,5.379224863648415
9821,5.375540562470754
2489,5.370309737324715
7837,5.366029171148936
9174,5.350616347789765
9912,5.329715806245804
6743,5.322082177797953
2171,5.320604888598124
2455,5.315799303849539
458,5.303133443742991
3965,5.30013325214386
1105,5.291116244097551
6680,5.28823090394338
3346,5.287643734614054
699,5.284653743356467
5285,5.275478033224742
2748,5.27535257935524
